298,1:2,2:1,3:3,4:4,5:5
43552,1:4,2:5,3:2,4:3,5:1
46987,1:3,2:4,3:1,4:5,5:2
17585,1:1,2:5,3:4,4:3,5:2
52392,1:4,2:1,3:5,4:2,5:3
72554,1:1,2:3,3:5,4:4,5:2
58971,1:1,2:4,3:5,4:2,5:3
38404,1:1,2:4,3:2,4:3,5:5
72525,1:5,2:2,3:3,4:1,5:4
74977,1:1,2:4,3:2,4:5,5:3
36790,1:1,2:2,3:3,4:4,5:5
40716,1:1,2:5,3:4,4:3,5:2
91138,1:2,2:5,3:3,4:4,5:1
31478,1:2,2:5,3:1,4:3,5:4
2043,1:5,2:3,3:2,4:4,5:1
99000,1:3,2:4,3:2,4:1,5:5
41976,1:5,2:1,3:4,4:2,5:3
22003,1:3,2:4,3:2,4:1,5:5
71538,1:1,2:2,3:3,4:5,5:4
71095,1:5,2:1,3:4,4:3,5:2
90683,1:3,2:4,3:2,4:1,5:5
31013,1:5,2:2,3:1,4:4,5:3
69585,1:4,2:2,3:3,4:5,5:1
37938,1:2,2:5,3:1,4:4,5:3
4772,1:1,2:5,3:4,4:2,5:3
34048,1:2,2:1,3:3,4:4,5:5
6439,1:1,2:3,3:2,4:4,5:5
96607,1:3,2:1,3:5,4:2,5:4
74866,1:5,2:3,3:4,4:1,5:2
88549,1:3,2:5,3:2,4:1,5:4
20675,1:5,2:4,3:3,4:2,5:1
98420,1:3,2:1,3:2,4:5,5:4
31883,1:1,2:2,3:3,4:5,5:4
99857,1:2,2:1,3:3,4:5,5:4
64707,1:1,2:4,3:2,4:3,5:5
13342,1:2,2:4,3:3,4:1,5:5
86028,1:1,2:4,3:2,4:3,5:5
22063,1:2,2:3,3:1,4:4,5:5
10460,1:5,2:2,3:4,4:1,5:3
1646,1:2,2:4,3:1,4:5,5:3
28979,1:2,2:5,3:1,4:3,5:4
62806,1:5,2:4,3:3,4:1,5:2
69044,1:5,2:3,3:1,4:2,5:4
3976,1:2,2:3,3:5,4:1,5:4
11730,1:1,2:2,3:4,4:5,5:3
16921,1:3,2:4,3:5,4:2,5:1
30600,1:1,2:2,3:4,4:5,5:3
93140,1:1,2:3,3:4,4:5,5:2
78489,1:1,2:5,3:4,4:3,5:2
14975,1:4,2:2,3:5,4:1,5:3
69811,1:4,2:5,3:2,4:3,5:1
340,1:1,2:5,3:2,4:4,5:3
40056,1:1,2:4,3:3,4:5,5:2
838,1:1,2:4,3:5,4:2,5:3
23289,1:3,2:2,3:1,4:5,5:4
29600,1:3,2:2,3:5,4:1,5:4
85645,1:3,2:2,3:4,4:5,5:1
31133,1:4,2:2,3:5,4:1,5:3
77991,1:2,2:1,3:4,4:3,5:5
27205,1:5,2:1,3:4,4:2,5:3
34543,1:5,2:2,3:3,4:4,5:1
67776,1:2,2:4,3:1,4:3,5:5
60926,1:2,2:1,3:5,4:4,5:3
87975,1:4,2:3,3:2,4:1,5:5
20303,1:4,2:3,3:5,4:2,5:1
22750,1:1,2:2,3:3,4:4,5:5
14918,1:2,2:5,3:3,4:4,5:1
9610,1:1,2:4,3:5,4:3,5:2
29225,1:4,2:5,3:1,4:2,5:3
77037,1:4,2:3,3:2,4:5,5:1
58309,1:2,2:4,3:1,4:3,5:5
96413,1:1,2:4,3:5,4:3,5:2
80607,1:1,2:4,3:5,4:2,5:3
87044,1:5,2:2,3:3,4:4,5:1
44477,1:5,2:4,3:2,4:1,5:3
92943,1:3,2:4,3:2,4:1,5:5
59052,1:3,2:4,3:1,4:2,5:5
35054,1:4,2:1,3:3,4:2,5:5
23361,1:5,2:3,3:1,4:4,5:2
17931,1:3,2:1,3:5,4:4,5:2
25028,1:2,2:3,3:4,4:5,5:1
